Date,Open
03-12-2007,181.86
04-12-2007,177.15
05-12-2007,182.89
06-12-2007,186.19
07-12-2007,190.54
10-12-2007,193.59
11-12-2007,194.75
12-12-2007,193.44
13-12-2007,190.19
14-12-2007,190.37
17-12-2007,190.72
18-12-2007,186.52
19-12-2007,182.98
20-12-2007,185.43
21-12-2007,190.12
24-12-2007,195.03
26-12-2007,199.01
27-12-2007,198.95
28-12-2007,200.59
31-12-2007,199.5
02-01-2008,199.27
03-01-2008,195.41
04-01-2008,191.45
07-01-2008,181.25
08-01-2008,180.14
09-01-2008,171.3
10-01-2008,177.58
11-01-2008,176
14-01-2008,177.52
15-01-2008,177.72
16-01-2008,165.23
17-01-2008,161.51
18-01-2008,161.71
22-01-2008,148.06
23-01-2008,136.19
24-01-2008,139.99
25-01-2008,138.99
28-01-2008,128.16
29-01-2008,131.15
30-01-2008,131.37
31-01-2008,129.45
01-02-2008,136.24
04-02-2008,134.21
05-02-2008,130.43
06-02-2008,130.83
07-02-2008,119.97
08-02-2008,122.08
11-02-2008,128.01
12-02-2008,130.7
13-02-2008,126.68
14-02-2008,129.4
15-02-2008,126.27
19-02-2008,125.99
20-02-2008,122.2
21-02-2008,126.05
22-02-2008,122.48
25-02-2008,118.59
26-02-2008,117.64
27-02-2008,118.23
28-02-2008,127.2
29-02-2008,129.75
03-03-2008,124.44
04-03-2008,121.99
05-03-2008,123.58
06-03-2008,124.4899
07-03-2008,120.41
10-03-2008,121.98
11-03-2008,124.1
12-03-2008,127.04
13-03-2008,124.1
14-03-2008,129.88
17-03-2008,122.55
18-03-2008,129.18
19-03-2008,133.12
20-03-2008,131.12
24-03-2008,134.01
25-03-2008,139.96
26-03-2008,140.87
27-03-2008,144.95
28-03-2008,141.8
31-03-2008,143.27
01-04-2008,146.3
02-04-2008,148.78
03-04-2008,147.06
04-04-2008,152.19
07-04-2008,156.13
08-04-2008,153.55
09-04-2008,153.31
10-04-2008,151.13
11-04-2008,152.72
14-04-2008,146.77
15-04-2008,149.4
16-04-2008,151.76
17-04-2008,154.18
18-04-2008,159.04
21-04-2008,162.35
22-04-2008,167.41
23-04-2008,164.05
24-04-2008,165.31
25-04-2008,170.6
28-04-2008,169.74
29-04-2008,171.11
30-04-2008,176.26
01-05-2008,175.01
02-05-2008,180.31
05-05-2008,181.81
06-05-2008,184.56
07-05-2008,186.13
08-05-2008,183.75
09-05-2008,183.18
12-05-2008,185.12
13-05-2008,188.6
14-05-2008,191.29
15-05-2008,186.78
16-05-2008,190.3
19-05-2008,187.9
20-05-2008,181.83
21-05-2008,185.61
22-05-2008,179.18
23-05-2008,180.75
27-05-2008,182.8
28-05-2008,187.49
29-05-2008,186.93
30-05-2008,187.5
02-06-2008,188.5
03-06-2008,186.9
04-06-2008,184
05-06-2008,186.25
06-06-2008,188
09-06-2008,184.92
10-06-2008,180.33
11-06-2008,184.34
12-06-2008,181.45
13-06-2008,171.5
16-06-2008,171.25
17-06-2008,178.17
18-06-2008,181
19-06-2008,178.48
20-06-2008,176.55
23-06-2008,174.78
24-06-2008,172.06
25-06-2008,174.5
26-06-2008,174.14
27-06-2008,166.44
30-06-2008,170.04
01-07-2008,164.05
02-07-2008,175.05
03-07-2008,169.59
07-07-2008,173
08-07-2008,175.4
09-07-2008,180.25
10-07-2008,174.91
11-07-2008,175.37
14-07-2008,175.37
15-07-2008,172.3
16-07-2008,170.08
17-07-2008,174.09
18-07-2008,168.21
21-07-2008,166.9
22-07-2008,148.9
23-07-2008,165.15
24-07-2008,164.3
25-07-2008,160.37
28-07-2008,162.18
29-07-2008,156.55
30-07-2008,157.71
31-07-2008,157.7
01-08-2008,159.94
04-08-2008,156.58
05-08-2008,155.5
06-08-2008,159.97
07-08-2008,162.89
08-08-2008,163.86
11-08-2008,170.07
12-08-2008,173.52
13-08-2008,177.98
14-08-2008,178.33
15-08-2008,179.04
18-08-2008,175.57
19-08-2008,174.54
20-08-2008,174.7725
21-08-2008,174.47
22-08-2008,175.82
25-08-2008,176.15
26-08-2008,172.76
27-08-2008,173.31
28-08-2008,175.28
29-08-2008,172.96
02-09-2008,172.4
03-09-2008,166.84
04-09-2008,165.86
05-09-2008,158.59
08-09-2008,164.57
09-09-2008,156.86
10-09-2008,152.32
11-09-2008,148.18
12-09-2008,150.9099
15-09-2008,142.03
16-09-2008,133.86
17-09-2008,138.49
18-09-2008,130.57
19-09-2008,142.6
22-09-2008,139.94
23-09-2008,131.85
24-09-2008,127.27
25-09-2008,129.8
26-09-2008,124.91
29-09-2008,119.62
30-09-2008,108.25
01-10-2008,111.92
02-10-2008,108.01
03-10-2008,104
06-10-2008,91.96
07-10-2008,100.48
08-10-2008,85.9125
09-10-2008,93.35
10-10-2008,85.7
13-10-2008,104.55
14-10-2008,116.26
15-10-2008,103.84
16-10-2008,99.77
17-10-2008,99.6
20-10-2008,99.78
21-10-2008,96.95
22-10-2008,97.37
23-10-2008,96.51
24-10-2008,90.33
27-10-2008,95.07
28-10-2008,95.43
29-10-2008,100.86
30-10-2008,108.23
31-10-2008,107.4
03-11-2008,105.93
04-11-2008,109.99
05-11-2008,108.91
06-11-2008,101.05
07-11-2008,99.24
10-11-2008,100.17
11-11-2008,94.81
12-11-2008,92.43
13-11-2008,89.87
14-11-2008,93.76
17-11-2008,88.48
18-11-2008,89.64
19-11-2008,89.44
20-11-2008,85.24
21-11-2008,81.93
24-11-2008,85.21
25-11-2008,94.63
26-11-2008,89.92
28-11-2008,94.7
01-12-2008,91.3
02-12-2008,90.03
03-12-2008,89.4
04-12-2008,94.43
05-12-2008,90.35
08-12-2008,97.28
09-12-2008,98.395
10-12-2008,97.87
11-12-2008,97.35
12-12-2008,92.8
15-12-2008,95.99
16-12-2008,93.98
17-12-2008,91.03
18-12-2008,89.31
19-12-2008,90.13
22-12-2008,90.02
23-12-2008,86.87
24-12-2008,86.14
26-12-2008,86.64
29-12-2008,86.52
30-12-2008,87.42
31-12-2008,85.97
02-01-2009,85.88
05-01-2009,93.17
06-01-2009,95.95
07-01-2009,91.81
08-01-2009,90.43
09-01-2009,93.21
12-01-2009,90.46
13-01-2009,88.24
14-01-2009,86.24
15-01-2009,80.56
16-01-2009,84.3
20-01-2009,81.93
21-01-2009,79.45
22-01-2009,88
23-01-2009,86.81
26-01-2009,88.88
27-01-2009,90.19
28-01-2009,92.15
29-01-2009,93.09
30-01-2009,92.62
02-02-2009,89.1
03-02-2009,91.92
04-02-2009,93.24
05-02-2009,92.77
06-02-2009,97
09-02-2009,101.165
10-02-2009,101.17
11-02-2009,96.35
12-02-2009,95.83
13-02-2009,99.11
17-02-2009,96.79
18-02-2009,95.03
19-02-2009,93.37
20-02-2009,89.4
23-02-2009,91.6
24-02-2009,87.4475
25-02-2009,89.86
26-02-2009,92
27-02-2009,87.91
02-03-2009,89.31
03-03-2009,88.83
04-03-2009,90.24
05-03-2009,90.25
06-03-2009,88.34
09-03-2009,84.12
10-03-2009,84.87
11-03-2009,89.9
12-03-2009,92.9703
13-03-2009,96.3
16-03-2009,96.45
17-03-2009,95.26
